Cell,Parent,LineageName,Birth,Death,Type,Description
hyp1V,ABarappaap,ABarappaapa,315,,hypoderm,Cylindrical hypodermal syncytium in head.
ABarappaapp,ABarappaap,ABarappaapp,315,330,,
ABarappap,ABarappa,ABarappap,175,,,
ABarappapa,ABarappap,ABarappapa,220,,,
RMDDR,ABarappapa,ABarappapaa,292,,neuron,"Ring motoneuron/interneuron, many synapses, probably reciprocal inhibitor."
ABarappapap,ABarappapa,ABarappapap,292,,,
ABarappapapa,ABarappapap,ABarappapapa,405,425,,
SMBDR,ABarappapap,ABarappapapp,405,,neuron,"Ring motoneuron/interneuron, has posteriorly directed process that runs sublaterally."
ABarappapp,ABarappap,ABarappapp,220,,,
DB2,ABarappapp,ABarappappa,300,,neuron,"Ventral cord motoneuron, innervates dorsal muscles, probably cholinergic."
SMBVR,ABarappapp,ABarappappp,300,,neuron,"Ring motoneuron/interneuron, has posteriorly directed process that runs sublaterally."
ABarappp,ABarapp,ABarappp,135,,,
ABarapppa,ABarappp,ABarapppa,175,,,
ABarapppaa,ABarapppa,ABarapppaa,220,,,
RMDVR,ABarapppaa,ABarapppaaa,295,,neuron,"Ring motoneuron/interneuron, many synapses, probably reciprocal inhibitor."
ILshVR,ABarapppaa,ABarapppaap,295,,sheath,Inner labial sheeth cell.
ABarapppap,ABarapppa,ABarapppap,220,,,
SAADR,ABarapppap,ABarapppapa,295,,neuron,"Ring interneuron, have anteriorly direct process that runs sublaterally."
ILsoVR,ABarapppap,ABarapppapp,295,,socket,"Inner labial socket cell, form protuberances at the tip of each labium."
ABarapppp,ABarappp,ABarapppp,175,,,
ABarappppa,ABarapppp,ABarappppa,218,,,
SMDVR,ABarappppa,ABarappppaa,295,,neuron,"Ring motoneuron/interneuron, has posteriorly directed process that runs sublaterally."
BAGR,ABarappppa,ABarappppap,295,,neuron,"Neuron, ciliated ending in head, not part of a sensillum, associated with ILso."
ABarappppp,ABarapppp,ABarappppp,218,,,
ABarapppppa,ABarappppp,ABarapppppa,290,,,
IL1VR,ABarapppppa,ABarapppppaa,310,,neuron,"Neuron of inner labial sensilla, ciliated ending with striated rootlets, synapse directly onto muscle cells."
ABarapppppap,ABarapppppa,ABarapppppap,310,345,,
IL2VR,ABarappppp,ABarapppppp,290,,neuron,"Neuron of inner labial sensilla, ciliated ending without rootlets, open to the outside."
ABarp,ABar,ABarp,50,,,
ABarpa,ABarp,ABarpa,68,,,
ABarpaa,ABarpa,ABarpaa,105,,,
ABarpaaa,ABarpaa,ABarpaaa,135,,,
ABarpaaaa,ABarpaaa,ABarpaaaa,180,,,
ABarpaaaaa,ABarpaaaa,ABarpaaaaa,240,,,
OLQsoDL,ABarpaaaaa,ABarpaaaaal,320,,socket,Quadrant outer labial socket cell.
OLQsoDR,ABarpaaaaa,ABarpaaaaar,320,,socket,Quadrant outer labial socket cell.
ABarpaaaap,ABarpaaaa,ABarpaaaap,240,,,
OLQshDL,ABarpaaaap,ABarpaaaapa,320,,sheath,Quadrant outer labial sheath cell.
CEPshDL,ABarpaaaap,ABarpaaaapp,320,,sheath,"Cephalic sheath cell, sheet-like process envelops neuropil of ring and part of ventral ganglion."
ABarpaaap,ABarpaaa,ABarpaaap,180,,,
ABarpaaapa,ABarpaaap,ABarpaaapa,240,,,
OLQshDR,ABarpaaapa,ABarpaaapaa,315,,sheath,Quadrant outer labial sheath cell.
CEPshDR,ABarpaaapa,ABarpaaapap,315,,sheath,"Cephalic sheath cell, sheet-like process envelops neuropil of ring and part of ventral ganglion."
ABarpaaapp,ABarpaaap,ABarpaaapp,240,270,,
ABarpaap,ABarpaa,ABarpaap,135,,,
ABarpaapa,ABarpaap,ABarpaapa,170,,,
hyp6,ABarpaapa,ABarpaapaa,225,,hypoderm,Cylindrical hypodermal syncytium in head.
hyp7,ABarpaapa,ABarpaapap,225,,hypoderm,Embryonic large hypodermal syncytium.
ABarpaapp,ABarpaap,ABarpaapp,170,,,
hyp7,ABarpaapp,ABarpaappa,215,,hypoderm,Embryonic large hypodermal syncytium.
hyp7,ABarpaapp,ABarpaappp,215,,hypoderm,Embryonic large hypodermal syncytium.
ABarpap,ABarpa,ABarpap,105,,,
ABarpapa,ABarpap,ABarpapa,135,,,
ABarpapaa,ABarpapa,ABarpapaa,175,,,
ABarpapaaa,ABarpapaa,ABarpapaaa,235,,,
URADR,ABarpapaaa,ABarpapaaaa,320,,neuron,"Ring motoneuron, non-ciliated ending in head, assocated with OLQ in embryo."
CEMDR,ABarpapaaa,ABarpapaaap,320,470,neuron,"Male-specific cephalic neurons (die in hermaphrodite embryo), open to outside, possibly mediate male chemotaxis towards hermaphrodite."
ABarpapaap,ABarpapaa,ABarpapaap,235,,,
ABarpapaapa,ABarpapaap,ABarpapaapa,295,320,,
ABarpapaapp,ABarpapaap,ABarpapaapp,295,,,
CEPDR,ABarpapaapp,ABarpapaappa,380,,neuron,"Neuron of cephalic sensillum, contains dopamine."
URXR,ABarpapaapp,ABarpapaappp,380,,neuron,"Ring interneuron, non-ciliated ending in head, associated with CEPD in embryo."
ABarpapap,ABarpapa,ABarpapap,175,,,
hyp4,ABarpapap,ABarpapapa,230,,hypoderm,Cylindrical hypodermal syncytium in head.
hyp6,ABarpapap,ABarpapapp,230,,hypoderm,Cylindrical hypodermal syncytium in head.
ABarpapp,ABarpap,ABarpapp,135,,,
ABarpappa,ABarpapp,ABarpappa,175,,,
XXXR,ABarpappa,ABarpappaa,240,,hypoderm,"Embryonic head hypodermal cell, no obvious function later."
hyp5,ABarpappa,ABarpappap,240,,hypoderm,Cylindrical hypodermal syncytium in head.
ABarpappp,ABarpapp,ABarpappp,175,,,
H0R,ABarpappp,ABarpapppa,225,,hypoderm,Seam hypodermal cell.
H1R,ABarpappp,ABarpapppp,225,,hypoderm,"Seam hypodermal cell, postembryonic blast cell."
ABarpp,ABarp,ABarpp,68,,,
ABarppa,ABarpp,ABarppa,105,,,
ABarppaa,ABarppa,ABarppaa,135,,,
ABarppaaa,ABarppaa,ABarppaaa,187,,,
ADEshL,ABarppaaa,ABarppaaaa,235,,sheath,Anterior deirid sheath cell.
H2L,ABarppaaa,ABarppaaap,235,,,"Seam hypodermal cell, postembryonic blast cell."
ABarppaap,ABarppaa,ABarppaap,187,,,
hyp7,ABarppaap,ABarppaapa,230,,hypoderm,Embryonic large hypodermal syncytium.
ABarppaapp,ABarppaap,ABarppaapp,230,,,
ALML,ABarppaapp,ABarppaappa,435,,neuron,"Anterior lateral microtubule cell, touch receptor neuron."
BDUL,ABarppaapp,ABarppaappp,435,,neuron,"Neuron, process runs along excretory canal and also in nerve ring, unique darkly staining synaptic vesicles."
ABarppap,ABarppa,ABarppap,135,,,
ABarppapa,ABarppap,ABarppapa,180,,,
V1L,ABarppapa,ABarppapaa,230,,,"Seam hypodermal cell, postembryonic blast cell."
V2L,ABarppapa,ABarppapap,230,,,"Seam hypodermal cell, postembryonic blast cell."
ABarppapp,ABarppap,ABarppapp,180,,,
V4L,ABarppapp,ABarppappa,230,,,"Seam hypodermal cell, postembryonic blast cell."
V6L,ABarppapp,ABarppappp,230,,,"Seam hypodermal cell, postembryonic blast cell."
ABarppp,ABarpp,ABarppp,105,,,
ABarpppa,ABarppp,ABarpppa,135,,,
ABarpppaa,ABarpppa,ABarpppaa,187,,,
ADEshR,ABarpppaa,ABarpppaaa,235,,sheath,Anterior deirid sheath cell.
H2R,ABarpppaa,ABarpppaap,235,,,"Seam hypodermal cell, postembryonic blast cell."
ABarpppap,ABarpppa,ABarpppap,187,,,
hyp7,ABarpppap,ABarpppapa,230,,hypoderm,Embryonic large hypodermal syncytium.
ABarpppapp,ABarpppap,ABarpppapp,230,,,
ALMR,ABarpppapp,ABarpppappa,435,,neuron,"Anterior lateral microtubule cell, touch receptor neuron."
BDUR,ABarpppapp,ABarpppappp,435,,neuron,"Neuron, process runs along excretory canal and also in nerve ring, unique darkly staining synaptic vesicles."
ABarpppp,ABarppp,ABarpppp,135,,,
ABarppppa,ABarpppp,ABarppppa,180,,,
V1R,ABarppppa,ABarppppaa,230,,,"Seam hypodermal cell, postembryonic blast cell."
V2R,ABarppppa,ABarppppap,230,,,"Seam hypodermal cell, postembryonic blast cell."
ABarppppp,ABarpppp,ABarppppp,180,,,
V4R,ABarppppp,ABarpppppa,230,,,"Seam hypodermal cell, postembryonic blast cell."
V6R,ABarppppp,ABarpppppp,230,,,"Seam hypodermal cell, postembryonic blast cell."
ABp,AB,ABp,17,,,
ABpl,ABp,ABpl,35,,,
ABpla,ABpl,ABpla,50,,,
ABplaa,ABpla,ABplaa,75,,,
ABplaaa,ABplaa,ABplaaa,105,,,
ABplaaaa,ABplaaa,ABplaaaa,135,,,
ABplaaaaa,ABplaaaa,ABplaaaaa,170,,,
ABplaaaaaa,ABplaaaaa,ABplaaaaaa,235,,,
URADL,ABplaaaaaa,ABplaaaaaaa,320,,neuron,"Ring motoneuron, non-ciliated ending in head, assocated with OLQ in embryo."
CEMDL,ABplaaaaaa,ABplaaaaaap,320,475,neuron,"Male-specific cephalic neurons (die in hermaphrodite embryo), open to outside, possibly mediate male chemotaxis towards hermaphrodite."
ABplaaaaap,ABplaaaaa,ABplaaaaap,235,,,
ABplaaaaapa,ABplaaaaap,ABplaaaaapa,295,330,,
ABplaaaaapp,ABplaaaaap,ABplaaaaapp,295,,,
CEPDL,ABplaaaaapp,ABplaaaaappa,380,,neuron,"Neuron of cephalic sensillum, contains dopamine."
URXL,ABplaaaaapp,ABplaaaaappp,380,,neuron,"Ring interneuron, non-ciliated ending in head, associated with CEPD in embryo."
ABplaaaap,ABplaaaa,ABplaaaap,170,,,
hyp6,ABplaaaap,ABplaaaapa,230,,hypoderm,Cylindrical hypodermal syncytium in head.
hyp6,ABplaaaap,ABplaaaapp,230,,hypoderm,Cylindrical hypodermal syncytium in head.
ABplaaap,ABplaaa,ABplaaap,135,,,
ABplaaapa,ABplaaap,ABplaaapa,170,,,
XXXL,ABplaaapa,ABplaaapaa,240,,hypoderm,"Embryonic head hypodermal cell, no obvious function later."
hyp5,ABplaaapa,ABplaaapap,240,,hypoderm,Cylindrical hypodermal syncytium in head.
ABplaaapp,ABplaaap,ABplaaapp,170,,,
H0L,ABplaaapp,ABplaaappa,225,,hypoderm,Seam hypodermal cell.
H1L,ABplaaapp,ABplaaappp,225,,,"Seam hypodermal cell, postembryonic blast cell."
ABplaap,ABplaa,ABplaap,105,,,
ABplaapa,ABplaap,ABplaapa,135,,,
ABplaapaa,ABplaapa,ABplaapaa,170,,,
ABplaapaaa,ABplaapaa,ABplaapaaa,230,,,
hyp3,ABplaapaaa,ABplaapaaaa,310,,hypoderm,Cylindrical hypodermal syncytium in head.
ILsoDL,ABplaapaaa,ABplaapaaap,310,,socket,"Inner labial socket cell, form protuberances at the tip of each labium."
ABplaapaap,ABplaapaa,ABplaapaap,230,,,
URBL,ABplaapaap,ABplaapaapa,290,,neuron,"Neuron, presynaptic in ring, non-ciliated ending in head, associated with OLL in embryo."
AMshL,ABplaapaap,ABplaapaapp,290,,sheath,Amphid sheath cell.
ABplaapap,ABplaapa,ABplaapap,170,,,
ABplaapapa,ABplaapap,ABplaapapa,230,,,
AWAL,ABplaapapa,ABplaapapaa,310,,neuron,"Amphid wing cell, neuron havin ciliated sheet-like sensory ending closely associated with amphid sheath."
ASGL,ABplaapapa,ABplaapapap,310,,neuron,"Amphid neuron, single ciliated ending, probably chemosensory; project into ring via commissure from ventral ganglion, make diverse synaptic connections in ring neuropil, also take up FITC."
ABplaapapp,ABplaapap,ABplaapapp,230,,,
AIBL,ABplaapapp,ABplaapappa,285,,neuron,Amphid interneuron.
ABplaapappp,ABplaapapp,ABplaapappp,285,,,
ASIL,ABplaapappp,ABplaapapppa,400,,neuron,"Amphid neuron, single ciliated ending, probably chemosensory; project into ring via commissure from ventral ganglion, make diverse synaptic connections in ring neuropil, also take up FITC."
ABplaapapppp,ABplaapappp,ABplaapapppp,400,420,,
ABplaapp,ABplaap,ABplaapp,135,,,
ABplaappa,ABplaapp,ABplaappa,170,,,
hyp4,ABplaappa,ABplaappaa,230,,hypoderm,Cylindrical hypodermal syncytium in head.
hyp6,ABplaappa,ABplaappap,230,,hypoderm,Cylindrical hypodermal syncytium in head.
ABplaappp,ABplaapp,ABplaappp,170,,,
hyp7,ABplaappp,ABplaapppa,215,,hypoderm,Embryonic large hypodermal syncytium.
hyp7,ABplaappp,ABplaapppp,215,,hypoderm,Embryonic large hypodermal syncytium.
ABplap,ABpla,ABplap,75,,,
ABplapa,ABplap,ABplapa,105,,,
ABplapaa,ABplapa,ABplapaa,135,,,
ABplapaaa,ABplapaa,ABplapaaa,175,,,
ABplapaaaa,ABplapaaa,ABplapaaaa,220,,,
ABplapaaaaa,ABplapaaaa,ABplapaaaaa,307,340,,
ABplapaaaap,ABplapaaaa,ABplapaaaap,307,,,
ADEL,ABplapaaaap,ABplapaaaapa,425,,neuron,"Anterior deirid, sensory receptors in lateral alae, contain dopamine."
ADAL,ABplapaaaap,ABplapaaaapp,425,,neuron,Ring interneuron.
ABplapaaap,ABplapaaa,ABplapaaap,220,,,
ABplapaaapa,ABplapaaap,ABplapaaapa,306,,,
FLPL,ABplapaaapa,ABplapaaapad,425,,neuron,"Neuron, ciliated ending in head, not part of a sensillum, associated with ILso."
AIZL,ABplapaaapa,ABplapaaapav,425,,neuron,Amphid interneuron.
RMGL,ABplapaaap,ABplapaaapp,306,,neuron,Ring motoneuron/interneuron.
ABplapaap,ABplapaa,ABplapaap,175,,,
G2,ABplapaap,ABplapaapa,225,,,"Postembryonic blast cell; excretory socket is G1 in embryo, G2 in L1, G2.p later."
P1,ABplapaap,ABplapaapp,225,,,"Postembryonic blast cell for ventral cord neurons, ventral hypodermis, vulva, male preanal ganglion; form ventral hypodermis in L1; stochastic fate: this cell becomes either P1 or P2 (aka P1/2 L)."
ABplapap,ABplapa,ABplapap,135,,,
ABplapapa,ABplapap,ABplapapa,170,,,
ABplapapaa,ABplapapa,ABplapapaa,215,,,
QL,ABplapapaa,ABplapapaaa,735,,,"Postembryonic neuroblast, migrates anteriorly."
V5L,ABplapapaa,ABplapapaap,735,,hypoderm,"Seam hypodermal cell, postembryonic blast cell."
P9,ABplapapa,ABplapapap,215,,,"Postembryonic blast cell for ventral cord neurons, ventral hypodermis, vulva, male preanal ganglion; form ventral hypodermis in L1; stochastic fate: this cell becomes either P9 or P10 (aka P9/10 L)."
ABplapapp,ABplapap,ABplapapp,170,,,
P11,ABplapapp,ABplapappa,215,,,"Postembryonic blast cell for ventral cord neurons, ventral hypodermis, vulva, male preanal ganglion; form ventral hypodermis in L1; stochastic fate: this cell becomes either P11 or P12 (aka P11/12 L)."
ABplapappp,ABplapapp,ABplapappp,215,,,
ABplapapppa,ABplapappp,ABplapapppa,305,320,,
ABplapapppp,ABplapappp,ABplapapppp,305,,,
ABplapappppa,ABplapapppp,ABplapappppa,400,,,
PLML,ABplapappppa,ABplapappppaa,485,,neuron,"Posterior lateral microtubule cell, touch receptor neuron."
ALNL,ABplapappppa,ABplapappppap,485,,neuron,"Neuron associated with ALM, send processes into tailspike."
ABplapappppp,ABplapapppp,ABplapappppp,400,420,,
ABplapp,ABplap,ABplapp,105,,,
ABplappa,ABplapp,ABplappa,135,,,
ABplappaa,ABplappa,ABplappaa,170,,,
P3,ABplappaa,ABplappaaa,215,,,"Postembryonic blast cell for ventral cord neurons, ventral hypodermis, vulva, male preanal ganglion; form ventral hypodermis in L1; stochastic fate: this cell becomes either P3 or P4 (aka P3/4 L)."
P5,ABplappaa,ABplappaap,215,,,"Postembryonic blast cell for ventral cord neurons, ventral hypodermis, vulva, male preanal ganglion; form ventral hypodermis in L1; stochastic fate: this cell becomes either P5 or P6 (aka P5/6 L)."
ABplappap,ABplappa,ABplappap,170,,,
V3L,ABplappap,ABplappapa,215,,,"Seam hypodermal cell, postembryonic blast cell."
P7,ABplappap,ABplappapp,215,,,"Postembryonic blast cell for ventral cord neurons, ventral hypodermis, vulva, male preanal ganglion; form ventral hypodermis in L1; stochastic fate: this cell becomes either P7 or P8 (aka P7/8 L)."
ABplappp,ABplapp,ABplappp,135,,,
ABplapppa,ABplappp,ABplapppa,175,,,
ABplapppaa,ABplapppa,ABplapppaa,230,,,
PVQL,ABplapppaa,ABplapppaaa,310,,neuron,"Interneuron, projects along ventral cord to ring, darkly staining vesicles."
ABplapppaap,ABplapppaa,ABplapppaap,310,330,,
ABplapppap,ABplapppa,ABplapppap,230,,,
ABplapppapa,ABplapppap,ABplapppapa,285,307,,
ABplapppapp,ABplapppap,ABplapppapp,285,,,
HSNL,ABplapppapp,ABplapppappa,405,,neuron,"Hermaphrodite specific motoneuron (die in male embryo), innervate vulval muscle, contains serotonin."
PHBL,ABplapppapp,ABplapppappp,405,,neuron,"Phasmid neuron, ciliated ending, probably chemosensory, similar to amphids but situated in tail, take up FITC."
ABplapppp,ABplappp,ABplapppp,175,,,
hyp7,ABplapppp,ABplappppa,230,,hypoderm,Embryonic large hypodermal syncytium.
TL,ABplapppp,ABplappppp,230,,,"Tail seam hypodermal cells, postembryonic blast cell, function as phasmid socket in L1."
ABplp,ABpl,ABplp,50,,,
ABplpa,ABplp,ABplpa,67,,,
ABplpaa,ABplpa,ABplpaa,105,,,
ABplpaaa,ABplpaa,ABplpaaa,135,,,
ABplpaaaa,ABplpaaa,ABplpaaaa,180,,,
ABplpaaaaa,ABplpaaaa,ABplpaaaaa,225,,,
SAAVL,ABplpaaaaa,ABplpaaaaaa,295,,neuron,"Ring interneuron, have anteriorly direct process that runs sublaterally."
AWCL,ABplpaaaaa,ABplpaaaaap,295,,neuron,"Amphid wing cell, neuron havin ciliated sheet-like sensory ending closely associated with amphid sheath."
ABplpaaaap,ABplpaaaa,ABplpaaaap,225,,,
exc duct,ABplpaaaap,ABplpaaaapa,290,,excretory,Excretory duct.
DB1,ABplpaaaap,ABplpaaaapp,290,,neuron,"Ventral cord motoneuron, innervates dorsal muscles, probably cholinergic."
ABplpaaap,ABplpaaa,ABplpaaap,180,,,
ABplpaaapa,ABplpaaap,ABplpaaapa,225,,,
URAVL,ABplpaaapa,ABplpaaapaa,305,,neuron,"Ring motoneuron, non-ciliated ending in head, assocated with OLQ in embryo."
CEPshVL,ABplpaaapa,ABplpaaapap,305,,sheath,"Cephalic sheath cell, sheet-like process envelops neuropil of ring and part of ventral ganglion."
ABplpaaapp,ABplpaaap,ABplpaaapp,225,,,
ABplpaaappa,ABplpaaapp,ABplpaaappa,295,,,
OLQVL,ABplpaaappa,ABplpaaappaa,415,,neuron,"Neuron of quadrant outer labial sensilla, ciliated ending with striated rootlets."
ABplpaaappap,ABplpaaappa,ABplpaaappap,415,450,,
URYVL,ABplpaaapp,ABplpaaappp,295,,neuron,"Neuron, presynaptic in ring, non-ciliated ending in head, associated with OLQ in embryo."
ABplpaap,ABplpaa,ABplpaap,135,,,
ABplpaapa,ABplpaap,ABplpaapa,175,,,
ABplpaapaa,ABplpaapa,ABplpaapaa,227,,,
RIVL,ABplpaapaa,ABplpaapaaa,305,,neuron,Ring interneuron.
AVBL,ABplpaapaa,ABplpaapaap,305,,neuron,"Ventral cord interneuron, synapses onto VB, DB, and AS motoneurons; formerly called beta."
ABplpaapap,ABplpaapa,ABplpaapap,227,,,
AMsoL,ABplpaapap,ABplpaapapa,310,,socket,Amphid socket cell.
CEMVL,ABplpaapap,ABplpaapapp,310,470,neuron,"Male-specific cephalic neurons (die in hermaphrodite embryo), open to outside, possibly mediate male chemotaxis towards hermaphrodite."
ABplpaapp,ABplpaap,ABplpaapp,175,,,
ABplpaappa,ABplpaapp,ABplpaappa,215,,,
ASHL,ABplpaappa,ABplpaappaa,295,,neuron,"Amphid neuron, single ciliated ending, probably chemosensory; project into ring via commissure from ventral ganglion, make diverse synaptic connections in ring neuropil, also take up FITC."
RIBL,ABplpaappa,ABplpaappap,295,,neuron,Prominent branched ring interneuron.
ABplpaappp,ABplpaapp,ABplpaappp,215,,,
AIML,ABplpaappp,ABplpaapppa,280,,neuron,Ring interneuron.
ABplpaapppp,ABplpaappp,ABplpaapppp,280,,,
CEPVL,ABplpaapppp,ABplpaappppa,400,,neuron,"Neuron of cephalic sensillum, contains dopamine."
ABplpaappppp,ABplpaapppp,ABplpaappppp,400,425,,
ABplpap,ABplpa,ABplpap,105,,,
ABplpapa,ABplpap,ABplpapa,135,,,
ABplpapaa,ABplpapa,ABplpapaa,170,,,
ABplpapaaa,ABplpapaa,ABplpapaaa,217,,,
SMDDL,ABplpapaaa,ABplpapaaaa,305,,neuron,"Ring motoneuron/interneuron, has posteriorly directed process that runs sublaterally."
AIYL,ABplpapaaa,ABplpapaaap,305,,neuron,Amphid interneuron.
ABplpapaap,ABplpapaa,ABplpapaap,217,,,
SIADL,ABplpapaap,ABplpapaapa,300,,neuron,"Receives a few synapses in the ring, has posteriorly directed process that runs sublaterally."
SIBVL,ABplpapaap,ABplpapaapp,300,,neuron,"Receives a few synapses in the ring, has posteriorly directed process that runs sublaterally."
ABplpapap,ABplpapa,ABplpapap,170,,,
ABplpapapa,ABplpapap,ABplpapapa,215,,,
exc gl L,ABplpapapa,ABplpapapaa,290,,excretory,"Excretory gland, fused to exc gl R, send process to ring, opens into excretory duct."
AVKL,ABplpapapa,ABplpapapap,290,,neuron,Ring and ventral cord interneuron.
ABplpapapp,ABplpapap,ABplpapapp,215,,,
SIAVL,ABplpapapp,ABplpapappa,295,,neuron,"Receives a few synapses in the ring, has posteriorly directed process that runs sublaterally."
DB5,ABplpapapp,ABplpapappp,295,,neuron,"Ventral cord motoneuron, innervates dorsal muscles, probably cholinergic."
ABplpapp,ABplpap,ABplpapp,135,,,
ABplpappa,ABplpapp,ABplpappa,170,,,
ABplpappaa,ABplpappa,ABplpappaa,210,,,
RMEV,ABplpappaa,ABplpappaaa,265,,neuron,"Ring motoneuron, probably contain GABA."
exc cell,ABplpappaa,ABplpappaap,265,,excretory,Large H-shaped excretory cell.
ABplpappap,ABplpappa,ABplpappap,210,250,,
ABplpappp,ABplpapp,ABplpappp,170,,,
ABplpapppa,ABplpappp,ABplpapppa,220,,,
K,ABplpapppa,ABplpapppaa,280,,rectal,"Rectal cell, postembryonic blast cell."
rect hyp,ABplpapppa,ABplpapppap,280,,hypoderm,"Rectal hypodermis, underlies cuticle (aka K')."
ABplpapppp,ABplpappp,ABplpapppp,220,,,
PVT,ABplpapppp,ABplpappppa,285,,neuron,"Interneuron, projects along ventral cord."
rect D,ABplpapppp,ABplpappppp,285,,epithelium,"Rectal epithelial cell, adjacent to intestino-rectal valve, has microvilli."
ABplpp,ABplp,ABplpp,67,,,
ABplppa,ABplpp,ABplppa,105,,,
ABplppaa,ABplppa,ABplppaa,140,,,
ABplppaaa,ABplppaa,ABplppaaa,175,,,
ABplppaaaa,ABplppaaa,ABplppaaaa,230,,,
SIBDL,ABplppaaaa,ABplppaaaaa,298,,neuron,"Receives a few synapses in the ring, has posteriorly directed process that runs sublaterally."
ABplppaaaap,ABplppaaaa,ABplppaaaap,298,,,
ABplppaaaapa,ABplppaaaap,ABplppaaaapa,408,430,,
RICL,ABplppaaaap,ABplppaaaapp,408,,neuron,Ring interneuron.
ABplppaaap,ABplppaaa,ABplppaaap,230,255,,
ABplppaap,ABplppaa,ABplppaap,175,,,
ABplppaapa,ABplppaap,ABplppaapa,235,,,
ABplppaapaa,ABplppaapa,ABplppaapaa,310,335,,
RIML,ABplppaapa,ABplppaapap,310,,neuron,Prominent ring motoneuron/interneuron.
ABplppaapp,ABplppaap,ABplppaapp,235,,,
AIAL,ABplppaapp,ABplppaappa,305,,neuron,Amphid interneuron.
DB6,ABplppaapp,ABplppaappp,305,,neuron,"Ventral cord motoneuron, innervates dorsal muscles, probably cholinergic."
ABplppap,ABplppa,ABplppap,140,,,
ABplppapa,ABplppap,ABplppapa,175,,,
ABplppapaa,ABplppapa,ABplppapaa,230,,,
ABplppapaaa,ABplppapaa,ABplppapaaa,295,,,
SABVL,ABplppapaaa,ABplppapaaaa,415,,neuron,"Ring interneuron, has anteriorly directed process that runs sublaterally, synapses to anterior ventral body muscles in L1."
RIFL,ABplppapaaa,ABplppapaaap,415,,neuron,Ring interneuron.
SABD,ABplppapaa,ABplppapaap,295,,neuron,"Ring interneuron, has anteriorly directed process that runs sublaterally, synapses to anterior ventral body muscles in L1."
ABplppapap,ABplppapa,ABplppapap,230,,,
DA2,ABplppapap,ABplppapapa,315,,neuron,"Ventral cord motoneuron, innervates dorsal muscles, probably cholinergic."
DA4,ABplppapap,ABplppapapp,315,,neuron,"Ventral cord motoneuron, innervates dorsal muscles, probably cholinergic."
ABplppapp,ABplppap,ABplppapp,175,,,
ABplppappa,ABplppapp,ABplppappa,230,,,
RIGL,ABplppappa,ABplppappaa,308,,neuron,Ring interneuron.
DD1,ABplppappa,ABplppappap,308,,neuron,"Ventral cord motoneuron, probably reciprocal inhibitor, changes its pattern of motor synapses during postembryonic development, contains GABA."
ABplppappp,ABplppapp,ABplppappp,230,,,
DD3,ABplppappp,ABplppapppa,320,,neuron,"Ventral cord motoneuron, probably reciprocal inhibitor, changes its pattern of motor synapses during postembryonic development, contains GABA."
DD5,ABplppappp,ABplppapppp,320,,neuron,"Ventral cord motoneuron, probably reciprocal inhibitor, changes its pattern of motor synapses during postembryonic development, contains GABA."
ABplppp,ABplpp,ABplppp,105,,,
ABplpppa,ABplppp,ABplpppa,140,,,
ABplpppaa,ABplpppa,ABplpppaa,170,,,
ABplpppaaa,ABplpppaa,ABplpppaaa,225,,,
DA9,ABplpppaaa,ABplpppaaaa,295,,neuron,"Ventral cord motoneuron, innervates dorsal muscles, probably cholinergic."
DA6,ABplpppaaa,ABplpppaaap,295,,neuron,"Ventral cord motoneuron, innervates dorsal muscles, probably cholinergic."
ABplpppaap,ABplpppaa,ABplpppaap,225,,,
ABplpppaapa,ABplpppaap,ABplpppaapa,285,,,
PVCL,ABplpppaapa,ABplpppaapaa,330,,neuron,"Ventral cord interneuron, cell body in lumbar ganglion, synapses onto VB and DB motoneurons; formerly called delta."
LUAL,ABplpppaapa,ABplpppaapap,330,,neuron,"Interneuron, short process in posterior end of ventral cord."
PHAL,ABplpppaap,ABplpppaapp,285,,neuron,"Phasmid neuron, ciliated ending, probably chemosensory, similar to amphids but situated in tail, take up FITC."
ABplpppap,ABplpppa,ABplpppap,170,,,
ABplpppapa,ABplpppap,ABplpppapa,225,,,
PHshL,ABplpppapa,ABplpppapaa,275,,sheath,Phasmid sheath cell.
hyp8,ABplpppapa,ABplpppapap,275,,hypoderm,"Tail ventral hypodermis, alternate fate is hyp9."
ABplpppapp,ABplpppap,ABplpppapp,225,255,,
ABplpppp,ABplppp,ABplpppp,140,,,
ABplppppa,ABplpppp,ABplppppa,170,,,
ABplppppaa,ABplppppa,ABplppppaa,220,,,
PVPL,ABplppppaa,ABplppppaaa,295,,neuron,"Interneuron, projects along ventral cord into nerve ring."
rect VL,ABplppppaa,ABplppppaap,295,,epithelium,"Rectal epithelial cell, adjacent to intestino-rectal valve, has microvilli."
ABplppppap,ABplppppa,ABplppppap,220,,,
U,ABplppppap,ABplppppapa,280,,rectal,"Rectal cell, postembryonic blast cell in male."
F,ABplppppap,ABplppppapp,280,,epithelium,Rectal epithelial cell.
ABplppppp,ABplpppp,ABplppppp,170,,,
ABplpppppa,ABplppppp,ABplpppppa,220,,,
mu int L,ABplpppppa,ABplpppppaa,295,,muscle,"Intestinal muscle, attaches to intestine and body wall anterior to anus."
mu anal,ABplpppppa,ABplpppppap,295,,muscle,Anal depressor muscle.
ABplpppppp,ABplppppp,ABplpppppp,220,,,
tail spike,ABplpppppp,ABplppppppa,295,625,tail,"Used during embryogenesis to make tail spike, then dies."
