Cell,Parent,LineageName,Birth,Death,Type,Description,Unnamed: 7,Unnamed: 8
ABprapappp,ABprapapp,ABprapappp,223.0,,,,,
P6,ABprappaa,ABprappaap,223.0,,,"Postembryonic blast cell for ventral cord neurons, ventral hypodermis, vulva, male preanal ganglion; form ventral hypodermis in L1; stochastic fate: this cell becomes either P5 or P6 (aka P5/6 R).",,
P4,ABprappaa,ABprappaaa,223.0,,,"Postembryonic blast cell for ventral cord neurons, ventral hypodermis, vulva, male preanal ganglion; form ventral hypodermis in L1; stochastic fate: this cell becomes either P3 or P4 (aka P3/4 R).",,
ABalppppaa,ABalppppa,ABalppppaa,223.0,,,,,
P8,ABprappap,ABprappapp,223.0,,,"Postembryonic blast cell for ventral cord neurons, ventral hypodermis, vulva, male preanal ganglion; form ventral hypodermis in L1; stochastic fate: this cell becomes either P7 or P8 (aka P7/8 R).",,
P10,ABprapapa,ABprapapap,223.0,,,"Postembryonic blast cell for ventral cord neurons, ventral hypodermis, vulva, male preanal ganglion; form ventral hypodermis in L1; stochastic fate: this cell becomes either P9 or P10 (aka P9/10 R).",,
V3R,ABprappap,ABprappapa,223.0,,,"Seam hypodermal cell, postembryonic blast cell.",,
hyp7,ABpraappp,ABpraapppp,223.0,,hypoderm,Embryonic large hypodermal syncytium.,,
hyp7,ABpraappp,ABpraapppa,223.0,,hypoderm,Embryonic large hypodermal syncytium.,,
ABalppppap,ABalppppa,ABalppppap,223.0,,,,,
ABprapapaa,ABprapapa,ABprapapaa,223.0,,,,,
ABplpaaaap,ABplpaaaa,ABplpaaaap,225.0,,,,,
ABplpaaaaa,ABplpaaaa,ABplpaaaaa,225.0,,,,,
ABprpapaap,ABprpapaa,ABprpapaap,225.0,,,,,
ABprpapaaa,ABprpapaa,ABprpapaaa,225.0,,,,,
ABalpapapp,ABalpapap,ABalpapapp,225.0,,,,,
ABprppppaa,ABprppppa,ABprppppaa,225.0,,,,,
ABprpapppp,ABprpappp,ABprpapppp,225.0,,,,,
ABprppppap,ABprppppa,ABprppppap,225.0,,,,,
ABprpapppa,ABprpappp,ABprpapppa,225.0,,,,,
ABplpppaaa,ABplpppaa,ABplpppaaa,225.0,,,,,
W,ABprapaap,ABprapaapa,225.0,,,"Postembryonic neuroblast, analagous to Pn.a.",,
P2,ABprapaap,ABprapaapp,225.0,,,"Postembryonic blast cell for ventral cord neurons, ventral hypodermis, vulva, male preanal ganglion; form ventral hypodermis in L1; stochastic fate: this cell becomes either P1 or P2 (aka P1/2 R).",,
ABalaaapar,ABalaaapa,ABalaaapar,225.0,,,,,
ABalaaapal,ABalaaapa,ABalaaapal,225.0,,,,,
ABprpaaapp,ABprpaaap,ABprpaaapp,225.0,,,,,
ABprapaaaa,ABprapaaa,ABprapaaaa,225.0,,,,,
ABaraaapap,ABaraaapa,ABaraaapap,225.0,,,,,
ABaraaapaa,ABaraaapa,ABaraaapaa,225.0,,,,,
G2,ABplapaap,ABplapaapa,225.0,,,"Postembryonic blast cell; excretory socket is G1 in embryo, G2 in L1, G2.p later.",,
ABprpppppa,ABprppppp,ABprpppppa,225.0,,,,,
ABprpppppp,ABprppppp,ABprpppppp,225.0,,,,,
ABprpaapaa,ABprpaapa,ABprpaapaa,225.0,,,,,
ABplpaaapp,ABplpaaap,ABplpaaapp,225.0,,,,,
ABalpaapaa,ABalpaapa,ABalpaapaa,225.0,,,,,
ABplpaaapa,ABplpaaap,ABplpaaapa,225.0,,,,,
ABalpapapa,ABalpapap,ABalpapapa,225.0,,,,,
hyp7,ABarpaapa,ABarpaapap,225.0,,hypoderm,Embryonic large hypodermal syncytium.,,
ABprpaaaap,ABprpaaaa,ABprpaaaap,225.0,,,,,
ABalaaappr,ABalaaapp,ABalaaappr,225.0,,,,,
ABprpaaapa,ABprpaaap,ABprpaaapa,225.0,,,,,
ABalpppapa,ABalpppap,ABalpppapa,225.0,,,,,
ABalaaappl,ABalaaapp,ABalaaappl,225.0,,,,,
ABprpaaaaa,ABprpaaaa,ABprpaaaaa,225.0,,,,,
hyp6,ABarpaapa,ABarpaapaa,225.0,,hypoderm,Cylindrical hypodermal syncytium in head.,,
P1,ABplapaap,ABplapaapp,225.0,,,"Postembryonic blast cell for ventral cord neurons, ventral hypodermis, vulva, male preanal ganglion; form ventral hypodermis in L1; stochastic fate: this cell becomes either P1 or P2 (aka P1/2 L).",,
ABprpaapap,ABprpaapa,ABprpaapap,225.0,,,,,
ABplpppaap,ABplpppaa,ABplpppaap,225.0,,,,,
ABalpaapap,ABalpaapa,ABalpaapap,225.0,,,,,
ABplpppapa,ABplpppap,ABplpppapa,225.0,,,,,
ABplpppapp,ABplpppap,ABplpppapp,225.0,255.0,,,,
H1L,ABplaaapp,ABplaaappp,225.0,,,"Seam hypodermal cell, postembryonic blast cell.",,
H0L,ABplaaapp,ABplaaappa,225.0,,hypoderm,Seam hypodermal cell.,,
H1R,ABarpappp,ABarpapppp,225.0,,hypoderm,"Seam hypodermal cell, postembryonic blast cell.",,
ABalpppapp,ABalpppap,ABalpppapp,225.0,,,,,
ABprapaaap,ABprapaaa,ABprapaaap,225.0,,,,,
H0R,ABarpappp,ABarpapppa,225.0,,hypoderm,Seam hypodermal cell.,,
ABpraaapaa,ABpraaapa,ABpraaapaa,226.0,,,,,
ABpraaapap,ABpraaapa,ABpraaapap,226.0,,,,,
ABplpaapap,ABplpaapa,ABplpaapap,227.0,,,,,
ABpraaaapp,ABpraaaap,ABpraaaapp,227.0,,,,,
ABplpaapaa,ABplpaapa,ABplpaapaa,227.0,,,,,
ABpraaaapa,ABpraaaap,ABpraaaapa,227.0,,,,,
ABarapaapp,ABarapaap,ABarapaapp,228.0,,,,,
ABarapaapa,ABarapaap,ABarapaapa,228.0,,,,,
ABalpapaap,ABalpapaa,ABalpapaap,228.0,,,,,
ABprpppapa,ABprpppap,ABprpppapa,228.0,,,,,
MSaaaaap,MSaaaaa,MSaaaaap,228.0,,,,,
ABaraapapa,ABaraapap,ABaraapapa,228.0,,,,,
ABaraapaaa,ABaraapaa,ABaraapaaa,228.0,,,,,
ABaraapppa,ABaraappp,ABaraapppa,228.0,,,,,
ABalpapaaa,ABalpapaa,ABalpapaaa,228.0,,,,,
ABaraapppp,ABaraappp,ABaraapppp,228.0,,,,,
ABarappaaa,ABarappaa,ABarappaaa,228.0,,,,,
ABaraapaap,ABaraapaa,ABaraapaap,228.0,,,,,
ABprpppaap,ABprpppaa,ABprpppaap,228.0,,,,,
ABaraappap,ABaraappa,ABaraappap,228.0,,,,,
ABaraapapp,ABaraapap,ABaraapapp,228.0,,,,,
ABarappaap,ABarappaa,ABarappaap,228.0,,,,,
ABprpppaaa,ABprpppaa,ABprpppaaa,228.0,,,,,
MSaaaaaa,MSaaaaa,MSaaaaaa,228.0,,,,,
ABaraappaa,ABaraappa,ABaraappaa,228.0,,,,,
ABprpppapp,ABprpppap,ABprpppapp,228.0,255.0,,,,
Earaa,Eara,Earaa,230.0,,,,,
TL,ABplapppp,ABplappppp,230.0,,,"Tail seam hypodermal cells, postembryonic blast cell, function as phasmid socket in L1.",,
ABprppapap,ABprppapa,ABprppapap,230.0,,,,,
ABprapppap,ABprapppa,ABprapppap,230.0,,,,,
ABprppappa,ABprppapp,ABprppappa,230.0,,,,,
ABprppappp,ABprppapp,ABprppappp,230.0,,,,,
ABprapppaa,ABprapppa,ABprapppaa,230.0,,,,,
int2D,Earp,Earpa,230.0,,intestine,,,
ABalppaapa,ABalppaap,ABalppaapa,230.0,255.0,,,,
ABalppaapp,ABalppaap,ABalppaapp,230.0,,,,,
int3D,Eara,Earap,230.0,,,Nucleus divides post-embryonically.,,
hyp7,ABplapppp,ABplappppa,230.0,,hypoderm,Embryonic large hypodermal syncytium.,,
hyp7,ABarppaap,ABarppaapa,230.0,,hypoderm,Embryonic large hypodermal syncytium.,,
int3V,Eala,Ealap,230.0,,,Nucleus divides post-embryonically.,,
hyp6,ABplaaaap,ABplaaaapp,230.0,,hypoderm,Cylindrical hypodermal syncytium in head.,,
hyp4,ABarpapap,ABarpapapa,230.0,,hypoderm,Cylindrical hypodermal syncytium in head.,,
hyp7,Cpapa,Cpapaa,230.0,,hypoderm,Embryonic large hypodermal syncytium.,,
hyp6,ABplaappa,ABplaappap,230.0,,hypoderm,Cylindrical hypodermal syncytium in head.,,
ABarapaaaa,ABarapaaa,ABarapaaaa,230.0,,,,,
int5R,Earp,Earpp,230.0,,,Nucleus divides post-embryonically.,,
ABpraapaaa,ABpraapaa,ABpraapaaa,230.0,,,,,
ABplppappp,ABplppapp,ABplppappp,230.0,,,,,
ABplppappa,ABplppapp,ABplppappa,230.0,,,,,
ABplppapap,ABplppapa,ABplppapap,230.0,,,,,
ABplppapaa,ABplppapa,ABplppapaa,230.0,,,,,
TR,ABprapppp,ABprappppp,230.0,,,"Tail seam hypodermal cells, postembryonic blast cell, function as phasmid socket in L1.",,
hyp7,ABprapppp,ABprappppa,230.0,,hypoderm,Embryonic large hypodermal syncytium.,,
ABplppaaap,ABplppaaa,ABplppaaap,230.0,255.0,,,,
ABprppaaaa,ABprppaaa,ABprppaaaa,230.0,,,,,
ABprppaaap,ABprppaaa,ABprppaaap,230.0,255.0,,,,
ABplppaaaa,ABplppaaa,ABplppaaaa,230.0,,,,,
ABaraaappa,ABaraaapp,ABaraaappa,230.0,,,,,
ABaraaappp,ABaraaapp,ABaraaappp,230.0,,,,,
ABprppapaa,ABprppapa,ABprppapaa,230.0,,,,,
ABpraapapa,ABpraapap,ABpraapapa,230.0,,,,,
int5L,Ealp,Ealpp,230.0,,,Nucleus divides post-embryonically.,,
hyp6,ABpraappa,ABpraappap,230.0,,hypoderm,Cylindrical hypodermal syncytium in head.,,
ABarapaaap,ABarapaaa,ABarapaaap,230.0,,,,,
int2V,Ealp,Ealpa,230.0,,intestine,,,
hyp4,ABpraappa,ABpraappaa,230.0,,hypoderm,Cylindrical hypodermal syncytium in head.,,
ABpraapaap,ABpraapaa,ABpraapaap,230.0,,,,,
ABpraapapp,ABpraapap,ABpraapapp,230.0,,,,,
ABalpaappp,ABalpaapp,ABalpaappp,230.0,,,,,
ABplaapapp,ABplaapap,ABplaapapp,230.0,,,,,
MSpaaaaa,MSpaaaa,MSpaaaaa,230.0,,,,,
V1L,ABarppapa,ABarppapaa,230.0,,,"Seam hypodermal cell, postembryonic blast cell.",,
ABplaapaap,ABplaapaa,ABplaapaap,230.0,,,,,
V2L,ABarppapa,ABarppapap,230.0,,,"Seam hypodermal cell, postembryonic blast cell.",,
V6L,ABarppapp,ABarppappp,230.0,,,"Seam hypodermal cell, postembryonic blast cell.",,
ABalpaappa,ABalpaapp,ABalpaappa,230.0,,,,,
V6R,ABarppppp,ABarpppppp,230.0,,,"Seam hypodermal cell, postembryonic blast cell.",,
V1R,ABarppppa,ABarppppaa,230.0,,,"Seam hypodermal cell, postembryonic blast cell.",,
hyp6,ABplaaaap,ABplaaaapa,230.0,,hypoderm,Cylindrical hypodermal syncytium in head.,,
V4L,ABarppapp,ABarppappa,230.0,,,"Seam hypodermal cell, postembryonic blast cell.",,
ABarppaapp,ABarppaap,ABarppaapp,230.0,,,,,
ABplaapapa,ABplaapap,ABplaapapa,230.0,,,,,
MSpaaaap,MSpaaaa,MSpaaaap,230.0,,,,,
ABplapppap,ABplapppa,ABplapppap,230.0,,,,,
V4R,ABarppppp,ABarpppppa,230.0,,,"Seam hypodermal cell, postembryonic blast cell.",,
ABplaapaaa,ABplaapaa,ABplaapaaa,230.0,,,,,
hyp7,Cpapa,Cpapap,230.0,,hypoderm,Embryonic large hypodermal syncytium.,,
hyp4,ABplaappa,ABplaappaa,230.0,,hypoderm,Cylindrical hypodermal syncytium in head.,,
V2R,ABarppppa,ABarppppap,230.0,,,"Seam hypodermal cell, postembryonic blast cell.",,
hyp6,ABarpapap,ABarpapapp,230.0,,hypoderm,Cylindrical hypodermal syncytium in head.,,
hyp7,ABarpppap,ABarpppapa,230.0,,hypoderm,Embryonic large hypodermal syncytium.,,
ABarpppapp,ABarpppap,ABarpppapp,230.0,,,,,
Ealaa,Eala,Ealaa,230.0,,,,,
ABplapppaa,ABplapppa,ABplapppaa,230.0,,,,,
ABplaaaaaa,ABplaaaaa,ABplaaaaaa,235.0,,,,,
hyp7,Cpapp,Cpappd,235.0,,hypoderm,Embryonic large hypodermal syncytium.,,
int6L,Epla,Eplap,235.0,,,Nucleus divides post-embryonically.,,
MSpapaap,MSpapaa,MSpapaap,235.0,,,,,
ABplppaapp,ABplppaap,ABplppaapp,235.0,,,,,
int6R,Epra,Eprap,235.0,,,Nucleus divides post-embryonically.,,
ABplppaapa,ABplppaap,ABplppaapa,235.0,,,,,
MSaaaapp,MSaaaap,MSaaaapp,235.0,,,,,
MSaapaaa,MSaapaa,MSaapaaa,235.0,,,,,
ABarpapaaa,ABarpapaa,ABarpapaaa,235.0,,,,,
ADEshR,ABarpppaa,ABarpppaaa,235.0,,sheath,Anterior deirid sheath cell.,,
hyp7,Caapp,Caappd,235.0,,hypoderm,Embryonic large hypodermal syncytium.,,
ADEshL,ABarppaaa,ABarppaaaa,235.0,,sheath,Anterior deirid sheath cell.,,
ABarpapaap,ABarpapaa,ABarpapaap,235.0,,,,,
PVR,Caapp,Caappv,235.0,,neuron,"Asymmetric interneuron, projects along ventral cord into ring, sends process into tail spike.",,
H2L,ABarppaaa,ABarppaaap,235.0,,,"Seam hypodermal cell, postembryonic blast cell.",,
ABprppaapa,ABprppaap,ABprppaapa,235.0,,,,,
ABplaaaaap,ABplaaaaa,ABplaaaaap,235.0,,,,,
int4D,Epra,Epraa,235.0,,,Nucleus divides post-embryonically.,,
MSaapaap,MSaapaa,MSaapaap,235.0,,,,,
MSpaaapa,MSpaaap,MSpaaapa,235.0,,,,,
H2R,ABarpppaa,ABarpppaap,235.0,,,"Seam hypodermal cell, postembryonic blast cell.",,
MSpaaapp,MSpaaap,MSpaaapp,235.0,,,,,
hyp11,Cpapp,Cpappv,235.0,,hypoderm,Tail dorsal hypodermis.,,
MSaaaapa,MSaaaap,MSaaaapa,235.0,,,,,
int4V,Epla,Eplaa,235.0,,,Nucleus divides post-embryonically.,,
MSpapaaa,MSpapaa,MSpapaaa,235.0,,,,,
ABprppaapp,ABprppaap,ABprppaapp,235.0,,,,,
ABalpaaapa,ABalpaaap,ABalpaaapa,237.0,,,,,
ABalpppaap,ABalpppaa,ABalpppaap,237.0,,,,,
ABalpaaaap,ABalpaaaa,ABalpaaaap,237.0,,,,,
ABalpaaaaa,ABalpaaaa,ABalpaaaaa,237.0,,,,,
ABalppaaap,ABalppaaa,ABalppaaap,237.0,,,,,
ABalppaaaa,ABalppaaa,ABalppaaaa,237.0,260.0,,,,
ABalpppaaa,ABalpppaa,ABalpppaaa,237.0,,,,,
ABalpaaapp,ABalpaaap,ABalpaaapp,237.0,,,,,
Cappaa,Cappa,Cappaa,240.0,,,,,
mu bod,MSapapa,MSapapap,240.0,,muscle,Embryonic body wall muscle.,,
mu bod,MSppapa,MSppapap,240.0,,muscle,Embryonic body wall muscle.,,
Capppa,Cappp,Capppa,240.0,,,,,
ABalaapapp,ABalaapap,ABalaapapp,240.0,,,,,
ABarpaaaap,ABarpaaaa,ABarpaaaap,240.0,,,,,
MSaapapa,MSaapap,MSaapapa,240.0,,,,,
MSaapapp,MSaapap,MSaapapp,240.0,,,,,
Cppppp,Cpppp,Cppppp,240.0,,,,,
hyp5,ABarpappa,ABarpappap,240.0,,hypoderm,Cylindrical hypodermal syncytium in head.,,
XXXR,ABarpappa,ABarpappaa,240.0,,hypoderm,"Embryonic head hypodermal cell, no obvious function later.",,
ABalaappaa,ABalaappa,ABalaappaa,240.0,260.0,,,,
ABalaapapa,ABalaapap,ABalaapapa,240.0,260.0,,,,
MSapaaaa,MSapaaa,MSapaaaa,240.0,,,,,
Cappap,Cappa,Cappap,240.0,,,,,
ABarpaaaaa,ABarpaaaa,ABarpaaaaa,240.0,,,,,
MSppapaa,MSppapa,MSppapaa,240.0,,,,,
MSpapapa,MSpapap,MSpapapa,240.0,,,,,
Cppppa,Cpppp,Cppppa,240.0,,,,,
ABaraaaaap,ABaraaaaa,ABaraaaaap,240.0,,,,,
XXXL,ABplaaapa,ABplaaapaa,240.0,,hypoderm,"Embryonic head hypodermal cell, no obvious function later.",,
hyp5,ABplaaapa,ABplaaapap,240.0,,hypoderm,Cylindrical hypodermal syncytium in head.,,
Cpppaa,Cpppa,Cpppaa,240.0,,,,,
ABarpaaapa,ABarpaaap,ABarpaaapa,240.0,,,,,
MSaaapaa,MSaaapa,MSaaapaa,240.0,,,,,
mu bod,MSapaaa,MSapaaap,240.0,,muscle,Embryonic body wall muscle.,,
ABalaapaap,ABalaapaa,ABalaapaap,240.0,,,,,
ABaraaaaaa,ABaraaaaa,ABaraaaaaa,240.0,,,,,
Capppp,Cappp,Capppp,240.0,,,,,
ABalappaaa,ABalappaa,ABalappaaa,240.0,270.0,,,,
Cpppap,Cpppa,Cpppap,240.0,,,,,
ABpraaaaap,ABpraaaaa,ABpraaaaap,240.0,,,,,
ABpraaaaaa,ABpraaaaa,ABpraaaaaa,240.0,,,,,
MSaaapap,MSaaapa,MSaaapap,240.0,,,,,
ABalaapaaa,ABalaapaa,ABalaapaaa,240.0,,,,,
ABarpaaapp,ABarpaaap,ABarpaaapp,240.0,270.0,,,,
MSpapapp,MSpapap,MSpapapp,240.0,,,,,
ABalaappap,ABalaappa,ABalaappap,240.0,,,,,
ABalappaap,ABalappaa,ABalappaap,240.0,,,,,
MSapapaa,MSapapa,MSapapaa,240.0,,,,,
mu bod,MSppaaa,MSppaaap,240.0,,muscle,Embryonic body wall muscle.,,
MSppaaaa,MSppaaa,MSppaaaa,240.0,,,,,
Eprpp,Eprp,Eprpp,245.0,,,,,
int7R,Eprp,Eprpa,245.0,,,Nucleus divides post-embryonically.,,
MSpaapaa,MSpaapa,MSpaapaa,245.0,,,,,
Eplpp,Eplp,Eplpp,245.0,,,,,
int7L,Eplp,Eplpa,245.0,,,Nucleus divides post-embryonically.,,
MSpaapap,MSpaapa,MSpaapap,245.0,,,,,
Capaap,Capaa,Capaap,250.0,,,,,
Cppaaa,Cppaa,Cppaaa,250.0,,,,,
ABalaaaala,ABalaaaal,ABalaaaala,250.0,,,,,
ABalaaaalp,ABalaaaal,ABalaaaalp,250.0,,,,,
mu bod,MSppapp,MSppappp,250.0,,muscle,Embryonic body wall muscle.,,
ABaraaaapa,ABaraaaap,ABaraaaapa,250.0,,,,,
mu bod,MSppapp,MSppappa,250.0,,muscle,Embryonic body wall muscle.,,
ABaraaaapp,ABaraaaap,ABaraaaapp,250.0,280.0,,,,
mu bod,MSapapp,MSapappp,250.0,,muscle,Embryonic body wall muscle.,,
Capapp,Capap,Capapp,250.0,,,,,
mu bod,MSapapp,MSapappa,250.0,,muscle,Embryonic body wall muscle.,,
Capaaa,Capaa,Capaaa,250.0,,,,,
Capapa,Capap,Capapa,250.0,,,,,
ABalaaaarr,ABalaaaar,ABalaaaarr,250.0,,,,,
ABalaaaarl,ABalaaaar,ABalaaaarl,250.0,,,,,
Cppaap,Cppaa,Cppaap,250.0,,,,,
Cppapa,Cppap,Cppapa,250.0,,,,,
Cppapp,Cppap,Cppapp,250.0,,,,,
ABalppppppp,ABalpppppp,ABalppppppp,255.0,,,,,
ABalppppppa,ABalpppppp,ABalppppppa,255.0,,,,,
mc1V,ABalpapppp,ABalpappppa,258.0,,marginal,Pharyngeal marginal cell.,,
m3VL,ABalpapppp,ABalpappppp,258.0,,muscle,Pharyngeal muscle cell.,,
mu bod,MSppppp,MSpppppa,260.0,,muscle,Embryonic body wall muscle.,,
M,MSapaap,MSapaapp,260.0,,,Postembryonic mesoblast.,,
MSapaapa,MSapaap,MSapaapa,260.0,290.0,,,,
mu bod,MSapppa,MSapppap,260.0,,muscle,Embryonic body wall muscle.,,
mu bod,MSppppa,MSppppaa,260.0,,muscle,Embryonic body wall muscle.,,
mu bod,MSapppa,MSapppaa,260.0,,muscle,Embryonic body wall muscle.,,
mu int R,MSppaap,MSppaapp,260.0,,muscle,"Intestinal muscle, attaches to intestine and body wall anterior to anus.",,
mu bod,MSapppp,MSappppa,260.0,,muscle,Embryonic body wall muscle.,,
ABpraaapppa,ABpraaappp,ABpraaapppa,260.0,,,,,
ABpraaapppp,ABpraaappp,ABpraaapppp,260.0,,,,,
MSppaapa,MSppaap,MSppaapa,260.0,290.0,,,,
mu bod,MSapppp,MSappppp,260.0,,muscle,Embryonic body wall muscle.,,
mu bod,MSppppa,MSppppap,260.0,,muscle,Embryonic body wall muscle.,,
mu bod,MSppppp,MSpppppp,260.0,,muscle,Embryonic body wall muscle.,,
MSpppaaa,MSpppaa,MSpppaaa,265.0,630.0,,,,
m3VR,ABarapappp,ABarapapppp,265.0,,muscle,Pharyngeal muscle cell.,,
Dpppp,Dppp,Dpppp,265.0,,,,,
Z4,MSappaa,MSappaap,265.0,,,Somatic gonad precursor cell.,,
Z1,MSpppaa,MSpppaap,265.0,,,Somatic gonad precursor cell.,,
Dappp,Dapp,Dappp,265.0,,,,,
hmc,MSappaa,MSappaaa,265.0,,mesoderm,"Head mesodermal cell, function unknown.",,
Dappa,Dapp,Dappa,265.0,,,,,
Dpppa,Dppp,Dpppa,265.0,,,,,
exc cell,ABplpappaa,ABplpappaap,265.0,,excretory,Large H-shaped excretory cell.,,
RMEV,ABplpappaa,ABplpappaaa,265.0,,neuron,"Ring motoneuron, probably contain GABA.",,
mc2V,ABarapappp,ABarapapppa,265.0,,marginal,Pharyngeal marginal cell.,,
int5Lp,int5L,Ealppp,270.0,,intestine,"Birth time data wasn't found, so displayed time is just a guess.",,
int3Dp,int3D,Earapp,270.0,,intestine,"Birth time data wasn't found, so displayed time is just a guess.",,
int5Ra,int5R,Earppa,270.0,,intestine,"Birth time data wasn't found, so displayed time is just a guess.",,
mc3V,ABalpappap,ABalpappapp,270.0,,marginal,Pharyngeal marginal cell.,,
mu bod,Dppa,Dppap,270.0,,muscle,Embryonic body wall muscle.,,
mu bod,MSpappa,MSpappaa,270.0,,muscle,Embryonic body wall muscle.,,
mu bod,MSpppap,MSpppapp,270.0,,muscle,Embryonic body wall muscle.,,
mu bod,Dapa,Dapaa,270.0,,muscle,Embryonic body wall muscle.,,
MSappapa,MSappap,MSappapa,270.0,300.0,,,,
int5Rp,int5R,Earppp,270.0,,intestine,"Birth time data wasn't found, so displayed time is just a guess.",,
int3Vp,int3V,Ealapp,270.0,,intestine,"Birth time data wasn't found, so displayed time is just a guess.",,
MSpapppa,MSpappp,MSpapppa,270.0,,,,,
int3Da,int3D,Earapa,270.0,,intestine,"Birth time data wasn't found, so displayed time is just a guess.",,
MSpppapa,MSpppap,MSpppapa,270.0,300.0,,,,
MSpapppp,MSpappp,MSpapppp,270.0,,,,,
int5La,int5L,Ealppa,270.0,,intestine,"Birth time data wasn't found, so displayed time is just a guess.",,
MSaapppa,MSaappp,MSaapppa,270.0,,,,,
mu bod,MSpappa,MSpappap,270.0,,muscle,Embryonic body wall muscle.,,
int3Va,int3V,Ealapa,270.0,,intestine,"Birth time data wasn't found, so displayed time is just a guess.",,
mu bod,Dppa,Dppaa,270.0,,muscle,Embryonic body wall muscle.,,
mu bod,MSappap,MSappapp,270.0,,muscle,Embryonic body wall muscle.,,
MSaapppp,MSaappp,MSaapppp,270.0,,,,,
e2V,ABalpappap,ABalpappapa,270.0,,epithelium,Pharyngeal epithelial cell.,,
mu bod,Dapa,Dapap,270.0,,muscle,Embryonic body wall muscle.,,
int4Da,int4D,Epraaa,275.0,,intestine,"Birth time data wasn't found, so displayed time is just a guess.",,
MSpapaapa,MSpapaap,MSpapaapa,275.0,,,,,
int4Vp,int4V,Eplaap,275.0,,intestine,"Birth time data wasn't found, so displayed time is just a guess.",,
MSaapaapa,MSaapaap,MSaapaapa,275.0,,,,,
mu bod,Dpaa,Dpaaa,275.0,,muscle,Embryonic body wall muscle.,,
int6Lp,int6L,Eplapp,275.0,,intestine,"Birth time data wasn't found, so displayed time is just a guess.",,
m7VL,MSaapaap,MSaapaapp,275.0,,muscle,Pharyngeal muscle cell.,,
hyp9,ABprpppapa,ABprpppapap,275.0,,hypoderm,"Tail ventral hypodermis, alternate fate is hyp8.",,
mu bod,Dpaa,Dpaap,275.0,,muscle,Embryonic body wall muscle.,,
PHshR,ABprpppapa,ABprpppapaa,275.0,,sheath,Phasmid sheath cell.,,
m7VR,MSpapaap,MSpapaapp,275.0,,muscle,Pharyngeal muscle cell.,,
int4Dp,int4D,Epraap,275.0,,intestine,"Birth time data wasn't found, so displayed time is just a guess.",,
hyp8,ABplpppapa,ABplpppapap,275.0,,hypoderm,"Tail ventral hypodermis, alternate fate is hyp9.",,
PHshL,ABplpppapa,ABplpppapaa,275.0,,sheath,Phasmid sheath cell.,,
mu bod,Daaa,Daaap,275.0,,muscle,Embryonic body wall muscle.,,
mu bod,Daaa,Daaaa,275.0,,muscle,Embryonic body wall muscle.,,
int6Ra,int6R,Eprapa,275.0,,intestine,"Birth time data wasn't found, so displayed time is just a guess.",,
int4Va,int4V,Eplaaa,275.0,,intestine,"Birth time data wasn't found, so displayed time is just a guess.",,
int6Rp,int6R,Eprapp,275.0,,intestine,"Birth time data wasn't found, so displayed time is just a guess.",,
int6La,int6L,Eplapa,275.0,,intestine,"Birth time data wasn't found, so displayed time is just a guess.",,
mu bod,Dpap,Dpapa,277.0,,muscle,Embryonic body wall muscle.,,
mu bod,Dpap,Dpapp,277.0,,muscle,Embryonic body wall muscle.,,
mu bod,Daap,Daapa,278.0,,muscle,Embryonic body wall muscle.,,
m5VR,MSpapaaa,MSpapaaap,278.0,,muscle,Pharyngeal muscle cell.,,
mu bod,Daap,Daapp,278.0,,muscle,Embryonic body wall muscle.,,
m4VR,MSpapaaa,MSpapaaaa,278.0,,muscle,Pharyngeal muscle cell.,,
m5L,ABaraapapa,ABaraapapap,280.0,,muscle,Pharyngeal muscle cell.,,
B,ABprppppap,ABprppppapa,280.0,,rectal,Rectal cell.,,
ABaraapppaa,ABaraapppa,ABaraapppaa,280.0,,,,,
mc1DR,ABaraaapap,ABaraaapapa,280.0,,marginal,Pharyngeal marginal cell.,,
m5R,ABaraapppa,ABaraapppap,280.0,,muscle,Pharyngeal muscle cell.,,
DVA,ABprppppap,ABprppppapp,280.0,,neuron,"Ring interneuron, cell body in dorso-rectal ganglion, has a large vesicle-filled process in ring.",,
arc post V,ABarapapap,ABarapapapa,280.0,,other,"Interface between pharynx and hypodermis, form anterior part of buccal cavity.",,
ABalapappaa,ABalapappa,ABalapappaa,280.0,,,,,
I5,ABarapapap,ABarapapapp,280.0,,neuron,Posterior sensory pharyngeal interneuron.,,
IL2DR,ABalappppa,ABalappppap,280.0,,neuron,"Neuron of inner labial sensilla, ciliated ending without rootlets, open to the outside.",,
ABplpaapppp,ABplpaappp,ABplpaapppp,280.0,,,,,
m4DL,MSaaaaap,MSaaaaapp,280.0,,muscle,Pharyngeal muscle cell.,,
rect hyp,ABplpapppa,ABplpapppap,280.0,,hypoderm,"Rectal hypodermis, underlies cuticle (aka K').",,
m4R,ABaraaapap,ABaraaapapp,280.0,,muscle,Pharyngeal muscle cell.,,
m5VL,MSaapaaa,MSaapaaap,280.0,,muscle,Pharyngeal muscle cell.,,
MSaaappa,MSaaapp,MSaaappa,280.0,305.0,,,,
AWBR,ABpraaappa,ABpraaappap,280.0,,neuron,"Amphid wing cell, neuron havin ciliated sheet-like sensory ending closely associated with amphid sheath.",,
m4VL,MSaapaaa,MSaapaaaa,280.0,,muscle,Pharyngeal muscle cell.,,
ABaraapapaa,ABaraapapa,ABaraapapaa,280.0,,,,,
ABalappppaa,ABalappppa,ABalappppaa,280.0,,,,,
